DEBUG 2024-03-12 19:33:27,238 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/sqlparse/utils.py first seen with mtime 1709743566.400104
DEBUG 2024-03-12 19:33:27,238 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/db/models/query_utils.py first seen with mtime 1709743567.1667707
DEBUG 2024-03-12 19:33:27,238 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/db/backends/sqlite3/__init__.py first seen with mtime 1709743567.1567707
DEBUG 2024-03-12 19:33:27,238 autoreload File /usr/lib/python3.11/weakref.py first seen with mtime 1706544237.0
DEBUG 2024-03-12 19:33:27,238 autoreload File /usr/lib/python3.11/asyncio/unix_events.py first seen with mtime 1706544237.0
DEBUG 2024-03-12 19:33:27,238 autoreload File /usr/lib/python3.11/collections/abc.py first seen with mtime 1706544237.0
DEBUG 2024-03-12 19:33:27,238 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/contrib/admin/templatetags/admin_list.py first seen with mtime 1709743566.7234373
DEBUG 2024-03-12 19:33:27,238 autoreload File /usr/lib/python3.11/glob.py first seen with mtime 1706544237.0
DEBUG 2024-03-12 19:33:27,238 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/contrib/admin/helpers.py first seen with mtime 1709743566.5967708
DEBUG 2024-03-12 19:33:27,238 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/db/models/aggregates.py first seen with mtime 1709743567.1634374
DEBUG 2024-03-12 19:33:27,238 autoreload File /usr/lib/python3.11/lib-dynload/_ssl.cpython-311-x86_64-linux-gnu.so first seen with mtime 1706544237.0
DEBUG 2024-03-12 19:33:27,238 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/contrib/admin/models.py first seen with mtime 1709743566.600104
DEBUG 2024-03-12 19:33:27,238 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/db/models/fields/files.py first seen with mtime 1709743567.1667707
DEBUG 2024-03-12 19:33:27,238 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/contrib/admin/options.py first seen with mtime 1709743566.600104
DEBUG 2024-03-12 19:33:27,238 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/sqlparse/engine/filter_stack.py first seen with mtime 1709743566.400104
DEBUG 2024-03-12 19:33:27,238 autoreload File /usr/lib/python3.11/copyreg.py first seen with mtime 1706544237.0
DEBUG 2024-03-12 19:33:27,238 autoreload File /usr/lib/python3.11/wsgiref/__init__.py first seen with mtime 1706544237.0
DEBUG 2024-03-12 19:33:27,238 autoreload File /usr/lib/python3.11/json/encoder.py first seen with mtime 1706544237.0
DEBUG 2024-03-12 19:33:27,239 autoreload File /usr/lib/python3.11/traceback.py first seen with mtime 1706544237.0
DEBUG 2024-03-12 19:33:27,239 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/dispatch/__init__.py first seen with mtime 1709743567.1734374
DEBUG 2024-03-12 19:33:27,239 autoreload File /usr/lib/python3.11/__future__.py first seen with mtime 1706544237.0
DEBUG 2024-03-12 19:33:27,239 autoreload File /usr/lib/python3.11/lib-dynload/_uuid.cpython-311-x86_64-linux-gnu.so first seen with mtime 1706544237.0
DEBUG 2024-03-12 19:33:27,239 autoreload File /usr/lib/python3.11/multiprocessing/reduction.py first seen with mtime 1706544237.0
